location_id,name,latitude,longitude,num_reviews,rating,neighborhoods,address_obj,address
8076701,Kadmar Travel,30.17,31.40737,9,5,salam 1 ,"{'street1': '15 Lebanon Street', 'street2': 'Mohandessin', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '14633'}","15 Lebanon Street Mohandessin, Cairo 14633 Egypt"
17223222,Egypt For Americans,30.06552,31.26035,6,5,al zahar,"{'street1': '107 W 9th St', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '64105'}","107 W 9th St, Cairo 64105 Egypt"
17689728,The heart of kmt,29.97496,31.137947,6,5,al ahram,"{'street1': None, 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': None}",Cairo Egypt
13803649,Ayad World Tours,30.06335,31.38315,18,5,al-qahirah al jadidah 2,"{'street1': '45 El Rashed Street', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","45 El Rashed Street, Cairo 11511 Egypt"
1176810,Nomad,30.1356,31.24767,10,5,shobra,"{'street1': '16 Saraya Al Gezira', 'street2': '1st Floor, Cairo Marriott', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","16 Saraya Al Gezira 1st Floor, Cairo Marriott, Cairo 11511 Egypt"
7110559,Maadi City Centre,30.04681,31.40578,20,4,maadi,"{'street1': 'Egypt Cairo Ring Rd', 'street2': 'El Maadi', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Egypt Cairo Ring Rd El Maadi, Cairo 11511 Egypt"
4737671,Sufi Bookstore & More,30.06014,31.22279,10,4,Zamalek,"{'street1': '12 Sayed El Bakry street, Zamalek', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '00000'}","12 Sayed El Bakry street, Zamalek, Cairo 00000 Egypt"
7380820,The Loft Gallery,30.11749,31.28967,6,5,Zamalek,"{'street1': '12 El Sayed El Bakri, Off 26th July Street', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","12 El Sayed El Bakri, Off 26th July Street, Cairo 11511 Egypt"
16883122,Travel Point,0,0,3,5,al ahram,"{'street1': '300 Pyramids St. El Etihadia Buildings , Giza , Egypt', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","300 Pyramids St. El Etihadia Buildings , Giza , Egypt, Cairo 11511 Egypt"
6983799,Atef Wassef Silver,30.05048,31.24614,3,5,abdin,"{'street1': '54 Abd El Khalik Sarwat Street', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","54 Abd El Khalik Sarwat Street, Cairo 11511 Egypt"
